time, AirTemp,RelHum,WindSpeed,Rain,Cloud,ShortWave,Snow
2008-12-19,2.508,69.16,2.66,0.0019,0.5795,6.685185185,0
2008-12-20,6.171,100,7.139,0.001694,1.05875,13.72453703,0
2008-12-21,6.496,92.96,6.16,0.000896,0.882,23.72222223,0
2008-12-22,15.552,100,13.824,0.001728,1.608,41.33333334,0
2008-12-23,5.88,100,4.704,0.001617,0.84525,33.34722223,0
2008-12-24,2.756,49.82,1.59,0.002226,0.51675,3.128472222,0
2008-12-25,1.104,100,3.726,0,0.70725,43.92361111,0
2008-12-26,-1.782,82.17,1.782,0,0.5445,32.65625,0
2008-12-27,0.129,100,1.548,0,1.080375,31.05555555,0
2008-12-28,-4.347,100,3.78,0,0.496125,77.4375,0
2008-12-29,-5.775,100,7.175,0,0.984375,32.60995371,0
2008-12-30,-2.139,57.27,1.725,0,0.025875,29.30902778,0
2008-12-31,-5.625,100,1.875,0,0.015625,53.96412038,0
2009-01-01,-2.325,72,1.5,0.000225,0.69375,3.385416667,0
2009-01-02,-4.379,100,2.265,0.000755,0.849375,30.23495371,0
2009-01-03,-4.312,76.56,4.224,0.000352,0.506,22.50925926,0.0176
2009-01-04,0.53,100,2.332,0.005936,1.06,11.04166667,0.0106
2009-01-05,-4.108,62.41,2.054,0,0.29625,38.58564815,0.0632
2009-01-06,-12.1,86,1.2,0,0.1625,51.27314815,0.07
2009-01-07,-6.808,64.38,2.516,0,0.333,11.13425926,0.0518
2009-01-08,-16.878,100,3.298,0,0.9215,66.6875,0.1164
2009-01-09,-8.883,100,5.292,0,1.299375,42.21874999,0.0945
2009-01-10,-1.143,100,2.413,0,0.968375,13.52314815,0.0635
2009-01-11,-2.475,41.8,1.265,0,0.034375,30.17361111,0.0275
2009-01-12,-5.724,100,6.042,0,0,89.4375,0.0795
2009-01-13,-0.636,100,5.883,0,1.272,47.11111111,0.0795
2009-01-14,-4.437,100,1.989,0.000765,0.95625,60.91666666,0.0612
2009-01-15,1.664,100,1.792,0.000384,1.28,16,0.0512
2009-01-16,0.532,100,3.857,0,1.080625,19.24189814,0.0532
2009-01-17,0,73.08,2.697,0.000261,0.6525,31.61805555,0.0261
2009-01-18,5.46,100,7.098,0.006188,1.365,81.52083334,0.0182
2009-01-19,2.759,72.98,4.094,0.002047,0.64525,41.51273148,0
2009-01-20,5.187,100,3.059,0,1.014125,25.09143518,0
2009-01-21,0,100,1.4,0,1.2075,26.41203704,0
2009-01-22,0.36,64.08,1.8,0,0.198,44.75,0
2009-01-23,0.82,71.34,4.838,0.00041,0.56375,30.08564814,0
2009-01-24,2.912,80.08,3.913,0.00091,0.8645,19.27430556,0
2009-01-25,3.1,100,2.325,0,1.0075,94.54282407,0
2009-01-26,0,100,5.655,0,1.876875,45.81597222,0
2009-01-27,0.592,100,3.108,0,1.3135,46.76388889,0
2009-01-28,-2.99,100,1.61,0,1.049375,21.8287037,0
2009-01-29,-4.935,100,2.256,0,1.37475,42.26736111,0
2009-01-30,-0.416,47.32,0.884,0,0.52,7.282407408,0
2009-01-31,1.038,100,4.671,0,1.578625,42.2488426,0
2009-02-01,-1.581,76.26,4.464,0.000372,0.871875,10.33333333,0
